Committee,value
None,4
Transportation and the Environment,2
Finance and Revenue,5
The Whole,8
Committee on Health,11
Transportation and the Environment,1
Retained by the Council,178
Housing and Neighborhood Revitalization ,2
Education and Committee on Finance and Revenue,1
Government Operations,1
Committee on Judiciary and Public Safety,1
Judiciary and Public Safety,3
Business and Economic Development,4
