Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
38574,22,Capitol Riverfront Business Improvement District Emergency Amendment Act of 2017,Councilmember Allen,B22-0393,,,2017-07-11,2017-07-11,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/38574/B22-0393-Introduction.pdf
38573,22,Capitol Riverfront Business Improvement District Emergency Declaration Resolution of 2017,Councilmember Allen,PR22-0421,,,2017-07-11,2017-07-11,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/38573/PR22-0421-Introduction.pdf
38572,22,Standard of Care for Animals Emergency Amendment Act of 2017,"Councilmembers Todd, Cheh, and Gray",B22-0392,,,2017-07-11,2017-07-11,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/38572/B22-0392-Introduction.pdf
38571,22,Standard of Care for Animals Emergency Declaration Resolution of 2017,"Councilmembers Todd, Cheh, and Gray",PR22-0420,,,2017-07-11,2017-07-11,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/38571/PR22-0420-Introduction.pdf
38570,22,Voter Rolls Protection Temporary Act of 2017,"Councilmembers Allen, Nadeau, Evans, Cheh, Todd, McDuffie, Gray, T. White, Silverman, Bonds, Grosso, R. White, and Chairman Mendelson",B22-0391,,,2017-07-11,2017-07-11,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/38570/B22-0391-Introduction.pdf
38569,22,Voter Rolls Protection Emergency Act of 2017,"Councilmembers Allen, Nadeau, Evans, Cheh, Todd, McDuffie, Gray, T. White, Silverman, Bonds, Grosso, R. White, and Chairman Mendelson",B22-0390,,,2017-07-11,2017-07-11,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/38569/B22-0390-Introduction.pdf
38568,22,Voter Rolls Protection Emergency Declaration Resolution of 2017,"Councilmembers Allen, Cheh, Gray, McDuffie, Silverman, R. White, Bonds, Evans, Grosso, Nadeau, Todd, T. White, and Chairman Mendelson",PR22-0419,,,2017-07-11,2017-07-11,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/38568/PR22-0419-Introduction.pdf
