Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
42549,23,"Proposed loan agreement in the amount of $11,420,904.00 ($7,948,359.00) and ($3,472,545.00) from the Housing Production Trust Fund from National Housing Trust Fund between the Department of Housing and Community Development (DHCD) and 1736 Rhode Island Ave., LLC ",Chairman Mendelson,CA23-0122,,,2019-05-09,2019-05-09,Retained by the Council,,Approved,2019-05-20,New,Contract,Contract,http://lims.dccouncil.us/Download/42549/CA23-0122-Introduction.pdf
42548,23,Primary Date Alteration Temporary Amendment Act of 2019,Councilmember Allen and Chairman Mendelson,B23-0298,,,2019-05-09,2019-05-09,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/42548/B23-0298-Introduction.pdf
42547,23,Primary Date Alteration Emergency Amendment Act of 2019,Councilmember Allen and Chairman Mendelson,B23-0297,,,2019-05-09,2019-05-09,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/42547/B23-0297-Introduction.pdf
42546,23,Primary Date Alteration Emergency Declaration Resolution of 2019,Councilmember Allen and Chairman Mendelson,PR23-0313,,,2019-05-09,2019-05-09,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/42546/PR23-0313-Introduction.pdf
42538,23,"Correspondence from Corbett Price - 20018 Annual WMATA Attendance Report
",Chairman Phil Mendelson,RC23-0067,,,2019-05-09,2019-05-09,,,,,New,Report,Other,http://lims.dccouncil.us/Download/42538/RC23-0067-Introduction.pdf
42433,23,Budget Oversight Hearing for Destination DC,NONE,HR23-0082,,,2019-05-10,2019-05-01,Committee on Finance and Revenue,,,,New,Oversight Hearing Record,Oversight Hearing Record,
