Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
39117,22,Public Employee Relations Board Term Limit Temporary Amendment Act of 2017,Councilmember Silverman,B22-0543,,,2017-11-01,2017-11-01,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/39117/B22-0543-Introduction.pdf
39116,22,Public Employee Relations Board Term Limit Emergency Amendment Act of 2017,Councilmember Silverman,B22-0542,,,2017-11-01,2017-11-01,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/39116/B22-0542-Introduction.pdf
39115,22,Public Employee Relations Board Term Limit Emergency Declaration Resolution of 2017,Councilmember Silverman,PR22-0589,,,2017-11-01,2017-11-01,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/39115/PR22-0589-Introduction.pdf
39114,22,"Proposed contract to exercise option year three (3) with National Service Contractors, Inc. ",Chairman Mendelson,CA22-0302,,,2017-11-01,2017-11-01,Retained by the Council,,Approved,2017-11-12,New,Contract,Contract,http://lims.dccouncil.us/Download/39114/CA22-0302-Introduction.pdf
39113,22,"Budgeting and Staffing at Eight DCPS Elementary Schools ( October 30,2017)",Chairman Phil Mendelson,AU22-0022,,,2017-11-01,2017-11-01,,,,,New,Report,Auditor,http://lims.dccouncil.us/Download/39113/AU22-0022-Introduction.pdf
