Committee,value
Committee on Government Operations,0
Not Referred,0
Committee on Housing and Neighborhood Revitalization,0
Retained by the Council,0
Committee on Health,0
Committee on Finance and Revenue,0
Committee on Business and Economic Development,0
Committee on Labor and Workforce Development,0
Committee of the Whole,0
Committee on Education,0
Committee on the Judiciary and Public Safety,0
Committee on Transportation and the Environment,0
Committee on Human Services,0
