Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
43096,23,"Proposed contract with Johnson Truck Center, LLC ",Chairman Mendelson,CA23-0252,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,New,Contract,Contract,http://lims.dccouncil.us/Download/43096/CA23-0252-Introduction.pdf
43095,23,Proposed Human Care Agreement for Option Period One (1) with KRA Corporation ,Chairman Mendelson,CA23-0251,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,New,Contract,Contract,http://lims.dccouncil.us/Download/43095/CA23-0251-Introduction.pdf
43094,23,"Proposed contract with SPC Business Consulting, LLC ",Chairman Mendelson,CA23-0250,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,New,Contract,Contract,http://lims.dccouncil.us/Download/43094/CA23-0250-Introduction.pdf
43093,23,Proposed contract with Networking for Future Inc. ,Chairman Mendelson,CA23-0249,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,New,Contract,Contract,http://lims.dccouncil.us/Download/43093/CA23-0249-Introduction.pdf
43092,23,Proposed contract with Five Pearls Consulting Firm ,Chairman Mendelson,CA23-0248,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,New,Contract,Contract,http://lims.dccouncil.us/Download/43092/CA23-0248-Introduction.pdf
43091,23,"Proposed contract with Plwatcher Media Group, LLC ",Chairman Mendelson,CA23-0247,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,New,Contract,Contract,
43090,23,"Proposed contract with JLC Management, LLC ",Chairman Mendelson,CA23-0246,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,New,Contract,Contract,http://lims.dccouncil.us/Download/43090/CA23-0246-Introduction.pdf
43089,23,Proposed contract with District Floor Depot Inc. ,Chairman Mendelson,CA23-0245,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,New,Contract,Contract,http://lims.dccouncil.us/Download/43089/CA23-0245-Introduction.pdf
43088,23,Proposed contract with HRUCKUS LLC ,Chairman Mendelson,CA23-0244,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,New,Contract,Contract,http://lims.dccouncil.us/Download/43088/CA23-0244-Introduction.pdf
43087,23,"Proposed contract to exercise Option Year One (1) with The Triage Group, LLC ",Chairman Mendelson,CA23-0243,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,New,Contract,Contract,http://lims.dccouncil.us/Download/43087/CA23-0243-Introduction.pdf
43086,23,"Proposed contract to exercise Option Year Three (3) with Tandem Conglomerate, LLC ",Chairman Mendelson,CA23-0242,,,2019-08-19,2019-08-19,Retained by the Council,,Approved,2019-08-30,New,Contract,Contract,http://lims.dccouncil.us/Download/43086/CA23-0242-Introduction.pdf
43085,23,Correspondence from the DC PCSB - SY 2018-19 Attendance and Discipline Report,Chairman Phil Mendelson,RC23-0095,,,2019-08-14,2019-08-15,,,,,New,Report,Other,http://lims.dccouncil.us/Download/43085/RC23-0095-Introduction.pdf
43084,23,Correspondence from the CCRC - FY 2019 Third Quarter Report,Chairman Phil Mendelson,RC23-0094,,,2019-08-14,2019-08-14,,,,,New,Report,Other,http://lims.dccouncil.us/Download/43084/RC23-0094-Introduction.pdf
43083,23,Correspondence from the DC PCSB - 2019 Annual Report,Chairman Phil Mendelson,RC23-0093,,,2019-08-14,2019-08-14,,,,,New,Report,Other,http://lims.dccouncil.us/Download/43083/RC23-0093-Introduction.pdf
43082,23,Correspondence from the Mayor - DOES Semi-Annual Compliance Report (July - December 2018),Chairman Phil Mendelson,RC23-0092,,,2019-08-13,2019-08-13,,,,,New,Report,Other,http://lims.dccouncil.us/Download/43082/RC23-0092-Introduction.pdf
