Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
42740,23,"Proposed contract with GCS, Inc. ",Chairman Mendelson,CA23-0166,,,2019/06/05 00:00:00,2019/06/05 17:10:46,Retained by the Council,,Approved,2019/06/16 00:00:00,New,Contract,Contract,http://lims.dccouncil.us/Download/42740/CA23-0166-Introduction.pdf
42739,23,"Request to reprogram $1,500,000 of Local Funds Budget Authority within the Board of Elections ",Chairman Mendelson,REPROG23-0017,,,2019/06/05 00:00:00,2019/06/05 17:00:12,Retained by the Council,,Approved,2019/06/20 00:00:00,New,Reprogramming,Reprogramming,http://lims.dccouncil.us/Download/42739/REPROG23-0017-Introduction.pdf
42738,23,Correspondence from the Mayor - An Assessment of the Need for Large Units in the District of Columbia,Chairman Phil Mendelson,RC23-0074,,,2019/06/05 00:00:00,2019/06/05 16:38:27,,,,0001/01/01 00:00:00,New,Report,Other,http://lims.dccouncil.us/Download/42738/RC23-0074-Introduction.pdf
