Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
42528,23,Reserved Parking Space for Reasonable Hardship Act of 2019,"Councilmembers Todd, R. White, McDuffie, Bonds, T. White, and Nadeau",B23-0294,,,2019-05-07,2019-05-07,Committee on Transportation and the Environment,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/42528/B23-0294-Introduction.pdf
42527,23,Cyclist Safety Campaign Amendment Act of 2019,"Councilmembers Todd, R. White, Nadeau, Allen, Cheh, and McDuffie",B23-0293,,,2019-05-07,2019-05-07,Committee on Transportation and the Environment,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/42527/B23-0293-Introduction.pdf
42526,23,Curb Extensions Act of 2019,"Councilmembers Grosso, Silverman, Todd, Nadeau, Bonds, Allen, and Cheh",B23-0292,,,2019-05-07,2019-05-07,Committee on Transportation and the Environment,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/42526/B23-0292-Introduction.pdf
42525,23,Detained Youth Access to the Juvenile Services Program Amendment Act of 2019,"Councilmembers T. White, Bonds, McDuffie, Allen, Nadeau, Grosso, R. White, Cheh, and Todd",B23-0291,,,2019-05-07,2019-05-07,Committee on Recreation and Youth Affairs,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/42525/B23-0291-Introduction.pdf
42524,23,Players Lounge Tax Exemption Act of 2019,Councilmembers T. White and R. White,B23-0290,,,2019-05-07,2019-05-07,Committee on Business and Economic Development,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/42524/B23-0290-Introduction.pdf
42523,23,Hannah Hawkins Way Designation Act of 2019,"Councilmembers T. White, R. White, Grosso, and Bonds",B23-0289,,,2019-05-07,2019-05-07,Committee of the Whole,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/42523/B23-0289-Introduction.pdf
42522,23,Vision Zero Enhancement Omnibus Amendment Act of 2019,"Councilmembers Allen, Bonds, R. White, McDuffie, Nadeau, Grosso, Silverman, and Todd",B23-0288,,,2019-05-07,2019-05-07,Committee on Transportation and the Environment,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/42522/B23-0288-Introduction.pdf
42521,23,Firearms Safety Omnibus Clarification Temporary Amendment Act of 2019,Councilmember Allen,B23-0287,,,2019-05-07,2019-05-07,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/42521/B23-0287-Introduction.pdf
42520,23,Firearms Safety Omnibus Clarification Emergency Amendment Act of 2019,Councilmember Allen,B23-0286,,,2019-05-07,2019-05-07,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/42520/B23-0286-Introduction.pdf
42519,23,Firearms Safety Omnibus Clarification Emergency Declaration Resolution of 2019,Councilmember Allen,PR23-0305,,,2019-05-07,2019-05-07,Retained by the Council,,,,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/42519/PR23-0305-Introduction.pdf
42518,23,Adams Morgan Business Improvement District Temporary Amendment Act of 2019,Councilmember Nadeau,B23-0285,,,2019-05-07,2019-05-07,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/42518/B23-0285-Introduction.pdf
42517,23,Adams Morgan Business Improvement District Emergency Amendment Act of 2019,Councilmember Nadeau,B23-0284,,,2019-05-07,2019-05-07,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/42517/B23-0284-Introduction.pdf
42516,23,Adams Morgan Business Improvement District Amendment Emergency Declaration Resolution of 2019,Councilmember Nadeau,PR23-0304,,,2019-05-07,2019-05-07,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/42516/PR23-0304-Introduction.pdf
42515,23,Fair Elections Temporary Amendment Act of 2019,Councilmember Allen,B23-0283,,,2019-05-07,2019-05-07,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/42515/B23-0283-Introduction.pdf
42514,23,Fair Elections Emergency Amendment Act of 2019,Councilmember Allen,B23-0282,,,2019-05-07,2019-05-07,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/42514/B23-0282-Introduction.pdf
42513,23,Fair Elections Emergency Declaration Resolution of 2019,Councilmember Allen,PR23-0303,,,2019-05-07,2019-05-07,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/42513/PR23-0303-Introduction.pdf
42433,23,Budget Oversight Hearing for Destination DC,NONE,HR23-0082,,,2019-05-10,2019-05-01,Committee on Finance and Revenue,,,,New,Oversight Hearing Record,Oversight Hearing Record,
