Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
43067,23,Correspondence from the Superior Court of the District of Columbia - Family Court Juvenile Delinquency Failure to Appear Bi-Annual Report For Period 1/1/2019 to 6/30/2019,Chairman Phil Mendelson,RC23-0088,,,2019-07-15,2019-07-16,,,,,New,Report,Other,http://lims.dccouncil.us/Download/43067/RC23-0088-Introduction.pdf
43066,23,Correspondence from the OAG - Truancy Status Report For School Year 2018-1019,Chairman Phil Mendelson,RC23-0087,,,2019-07-15,2019-07-16,,,,,New,Report,Other,http://lims.dccouncil.us/Download/43066/RC23-0087-Introduction.pdf
43065,23,Motor Vehicle Insurance Modernization Amendment Act of 2019,Chairman Mendelson and Councilmember McDuffie,B23-0405,,,2019-07-12,2019-07-16,Committee on Business and Economic Development,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43065/B23-0405-Introduction.pdf
43064,23,Deputy Mayor for Planning and Economic Development Limited Grant Making Authority for Check IT Enterprises Amendment Act of 2019,Councilmember R. White,B23-0404,,,2019-07-11,2019-07-15,Committee on Business and Economic Development,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43064/B23-0404-Introduction.pdf
43063,23,Paint Stewardship Program Infractions Approval Resolution of 2019,Chairman Mendelson,PR23-0443,,,2019-07-11,2019-07-15,Committee of the Whole,,Approved,2019-10-18,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/43063/PR23-0443-Introduction.pdf
43062,23,Adams Morgan Moratorium Zone Approval Resolution of 2019,Chairman Mendelson,PR23-0442,,,2019-07-09,2019-07-15,Committee on Business and Economic Development,,Disapproved,2019-12-16,Under Council Review,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/43062/PR23-0442-Introduction.pdf
43061,23,MLK Gateway Real Property Tax Abatement Amendment Act of 2019,Councilmember McDuffie,B23-0403,,,2019-07-09,2019-07-15,Committee on Business and Economic Development,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43061/B23-0403-Introduction.pdf
43060,23,Wildlife Protection Infractions Approval Resolution of 2019,Chairman Mendelson,PR23-0441,,,2019-07-09,2019-07-15,Committee on Transportation and the Environment,,Approved,2019-10-18,Under Council Review,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/43060/PR23-0441-Introduction.pdf
43059,23,Standby Guardian Amendment Act of 2019,"Councilmembers Nadeau, Todd, Cheh, Allen, Grosso, R. White, Bonds, T. White, Evans, Silverman, Gray, McDuffie, and Chairman Mendelson",B23-0402,,,2019-07-09,2019-07-15,Committee on Human Services,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43059/B23-0402-Introduction.pdf
43058,23,United States Women's National Team World Cup Champions Recognition Resolution of 2019,"Councilmembers Cheh, Gray, Allen, McDuffie, T. White, R. White, Bonds, Grosso, Silverman, Nadeau, Evans, Todd, and Chairman Mendelson",CER23-0131,,,2019-07-08,2019-07-12,Retained by the Council,,,,Under Council Review,Resolution,Ceremonial Resolution,http://lims.dccouncil.us/Download/43058/CER23-0131-Introduction.pdf
