Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
43053,23,Correspondence from the Mayor - DDOT Florida Avenue NE Multimodal Project,Chairman Phil Mendelson,RC23-0086,,,2019-07-12,2019-07-12,,,,,New,Report,Other,http://lims.dccouncil.us/Download/43053/RC23-0086-Introduction.pdf
43052,23,Government of the District of Columbia 401(a) and 457(d) Retirement Plans Annual Report For Fiscal Year 2018,Chairman Phil Mendelson,CFO23-0006,,,2019-07-12,2019-07-12,,,,,New,Report,Chief Financial Officer,http://lims.dccouncil.us/Download/43052/CFO23-0006-Introduction.pdf
43051,23,District of Columbia Clean Slate Amendment Act of 2019,Councilmember McDuffie,B23-0401,,,2019-07-09,2019-07-11,Committee on Judiciary and Public Safety,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43051/B23-0401-Introduction.pdf
43050,23,Marion S. Barry Summer Youth Employment Program Creditable Service Benefit Amendment Act of 2019,"Councilmembers McDuffie, Cheh, R. White, Grosso, Gray, Silverman, Bonds, Todd, Evans, and Allen",B23-0400,,,2019-07-09,2019-07-16,Committee on Labor and Workforce Development,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43050/B23-0400-Introduction.pdf
43049,23,O Street Wall Protection Act of 2019,"Councilmembers Gray, Cheh, Grosso, Todd, Bonds, Evans, Silverman, R. White, and Chairman Mendelson",B23-0399,,,2019-07-09,2019-07-11,Committee of the Whole,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43049/B23-0399-Introduction.pdf
43048,23,Lemonade Stand Amendment Act of 2019,"Councilmembers Todd, Allen, Silverman, R. White, Nadeau, Bonds, Cheh, Grosso, Gray, McDuffie, T. White, Evans, and Chairman Mendelson",B23-0398,,,2019-07-09,2019-07-11,Committee of the Whole,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43048/B23-0398-Introduction.pdf
43047,23,Public Safety Facilities Modernization Act of 2019,"Councilmembers Todd, Cheh, Grosso, Evans, Bonds, and T. White",B23-0397,,,2019-07-09,2019-07-11,Committee on Facilities and Procurement,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43047/B23-0397-Introduction.pdf
43046,23,District Waterway Management Act of 2019,"Councilmembers Allen, Evans, R. White, Cheh, Gray, McDuffie, Bonds, Grosso, and Nadeau",B23-0396,,,2019-07-09,2019-07-11,Committee on Government Operations and Committee of the Whole,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43046/B23-0396-Introduction.pdf
43045,23,First Responder Legacy Preference Amendment Act of 2019 ,"Councilmembers Allen, Bonds, Grosso, Todd, Cheh, Evans, Nadeau, R. White, and Chairman Mendelson",B23-0395,,,2019-07-09,2019-07-11,Committee on Labor and Workforce Development,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43045/B23-0395-Introduction.pdf
43044,23,Tenant and Homeowner Accountability and Protection Amendment Act of 2019,"Councilmembers Nadeau, Bonds, and Cheh",B23-0394,,,2019-07-09,2019-07-11,Committee of the Whole,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43044/B23-0394-Introduction.pdf
43043,23,Safe Passage to School Expansion Act of 2019,"Councilmembers Grosso, Todd, T. White, Nadeau, Cheh, and R. White",B23-0393,,,2019-07-09,2019-07-11,Committee on Transportation and the Environment and Committee of the Whole,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43043/B23-0393-Introduction.pdf
43042,23,Students' Right to Home or Hospital Instruction Act of 2019,"Councilmembers Grosso, Todd, T. White, Nadeau, Cheh, and R. White",B23-0392,,,2019-07-09,2019-07-11,Committee on Education and Committee of the Whole,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43042/B23-0392-Introduction.pdf
43041,23,Public Housing Rehabilitation Oversight Task Force Act of 2019,"Councilmembers Bonds, T. White, Nadeau, Cheh, Allen, Todd, R. White, and Chairman Mendelson",B23-0391,,,2019-07-09,2019-07-11,Committee on Housing and Neighborhood Revitalization,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43041/B23-0391-Introduction.pdf
43040,23,Sense of the Council Condemning the Inhumane Treatment of Children and Adults Detained in Federal Immigration Facilities Resolution of 2019,"Councilmembers Cheh, Allen, R. White, Nadeau, Gray, T. White, Todd, Bonds, Grosso, Silverman, McDuffie, Evans, and Chairman Mendelson",PR23-0440,,,2019-07-09,2019-07-11,Retained by the Council,,,,Under Council Review,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/43040/PR23-0440-Introduction.pdf
43039,23,Urban Farming Land Lease Amendment Act of 2019,Councilmember Cheh,B23-0390,,,2019-07-09,2019-07-11,Committee on Transportation and the Environment,,,,Under Council Review,Bill,Permanent Bill,http://lims.dccouncil.us/Download/43039/B23-0390-Introduction.pdf
43038,23,Criminal Justice Coordinating Council Information Sharing Temporary Amendment Act of 2019,Councilmember Allen,B23-0389,,,2019-07-09,2019-07-16,Retained by the Council,,,,Under Council Review,Bill,Temporary Bill,http://lims.dccouncil.us/Download/43038/B23-0389-Introduction.pdf
43037,23,Criminal Justice Coordinating Council Information Sharing Emergency Amendment Act of 2019,Councilmember Allen,B23-0388,,,2019-07-09,2019-07-16,Retained by the Council,,,,Under Mayoral Review,Bill,Emergency Bill,http://lims.dccouncil.us/Download/43037/B23-0388-Introduction.pdf
43036,23,Criminal Justice Coordinating Council Information Sharing Emergency Declaration Resolution of 2019,Councilmember Allen,PR23-0439,,R23-0188,2019-07-09,2019-07-16,Retained by the Council,,,,Approved,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/43036/PR23-0439-Introduction.pdf
43035,23,Sports Wagering Dedicated Revenue Temporary Amendment Act of 2019,Councilmembers Gray and McDuffie,B23-0387,,,2019-07-09,2019-07-10,Retained by the Council,,,,Under Council Review,Bill,Temporary Bill,http://lims.dccouncil.us/Download/43035/B23-0387-Introduction.pdf
43034,23,Sports Wagering Dedicated Revenue Emergency Amendment Act of 2019,Councilmembers Gray and McDuffie,B23-0386,,,2019-07-09,2019-07-10,Retained by the Council,,,,Under Council Review,Bill,Emergency Bill,http://lims.dccouncil.us/Download/43034/B23-0386-Introduction.pdf
43033,23,Sports Wagering Dedicated Revenue Emergency Declaration Resolution of 2019,Councilmembers Gray and McDuffie,PR23-0438,,,2019-07-09,2019-07-12,Retained by the Council,,,,Under Council Review,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/43033/PR23-0438-Introduction.pdf
43032,23,Standby Guardian Temporary Amendment Act of 2019,"Councilmembers Nadeau, Todd, Cheh, Allen, Grosso, R. White, Bonds, T. White, Evans, Silverman, Gray, McDuffie, and Chairman Mendelson",B23-0385,,,2019-07-09,2019-07-15,Retained by the Council,,,,Under Council Review,Bill,Temporary Bill,http://lims.dccouncil.us/Download/43032/B23-0385-Introduction.pdf
43031,23,Standby Guardian Emergency Amendment Act of 2019,"Councilmembers Nadeau, Todd, Cheh, Allen, Grosso, R. White, Bonds, T. White, Evans, Silverman, Gray, McDuffie, and Chairman Mendelson",B23-0384,,,2019-07-09,2019-07-16,Retained by the Council,,,,Under Mayoral Review,Bill,Emergency Bill,http://lims.dccouncil.us/Download/43031/B23-0384-Introduction.pdf
43030,23,Standby Guardian Emergency Declaration Resolution of 2019,"Councilmembers Nadeau, Todd, Cheh, Allen, Grosso, R. White, Bonds, T. White, Evans, Silverman, Gray, McDuffie, and Chairman Mendelson",PR23-0437,,R23-0181,2019-07-09,2019-07-16,Retained by the Council,,,,Approved,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/43030/PR23-0437-Introduction.pdf
43029,23,Appraisal Management Company Regulation Temporary Act of 2019,Chairman Mendelson,B23-0383,,,2019-07-09,2019-07-15,Retained by the Council,,,,Under Council Review,Bill,Temporary Bill,http://lims.dccouncil.us/Download/43029/B23-0383-Introduction.pdf
43028,23,Appraisal Management Company Regulation Emergency Act of 2019,Chairman Mendelson,B23-0382,,,2019-07-09,2019-07-12,Retained by the Council,,,,Under Council Review,Bill,Emergency Bill,http://lims.dccouncil.us/Download/43028/B23-0382-Introduction.pdf
43027,23,Appraisal Management Company Regulation Emergency Declaration Resolution of 2019,Chairman Mendelson,PR23-0436,,R23-0179,2019-07-09,2019-07-12,Retained by the Council,,,,Approved,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/43027/PR23-0436-Introduction.pdf
43026,23,MLK Gateway Real Property Tax Abatement Temporary Amendment Act of 2019,Councilmember McDuffie,B23-0381,,,2019-07-09,2019-07-16,Retained by the Council,,,,Under Council Review,Bill,Temporary Bill,http://lims.dccouncil.us/Download/43026/B23-0381-Introduction.pdf
43025,23,MLK Gateway Real Property Tax Abatement Emergency Amendment Act of 2019,Councilmember McDuffie,B23-0380,,,2019-07-09,2019-07-16,Retained by the Council,,,,Under Mayoral Review,Bill,Emergency Bill,http://lims.dccouncil.us/Download/43025/B23-0380-Introduction.pdf
43024,23,MLK Gateway Real Property Tax Abatement Emergency Declaration Resolution of 2019,Councilmember McDuffie,PR23-0435,,R23-0178,2019-07-09,2019-07-12,Retained by the Council,,,,Approved,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/43024/PR23-0435-Introduction.pdf
43023,23,Council Period 23 Rules and Investigation Authority Amendment Resolution of 2019,Chairman Mendelson,PR23-0434,,R23-0175,2019-07-09,2019-07-15,Retained by the Council,,,,Approved,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/43023/PR23-0434-Introduction.pdf
43022,23,Council Procurement Authority Emergency Act of 2019,Chairman Mendelson,B23-0379,,,2019-07-08,2019-07-15,Retained by the Council,,,,Under Mayoral Review,Bill,Emergency Bill,http://lims.dccouncil.us/Download/43022/B23-0379-Introduction.pdf
43021,23,Council Procurement Authority Emergency Declaration Resolution of 2019,Chairman Mendelson,PR23-0433,,R23-0182,2019-07-08,2019-07-12,Retained by the Council,,,,Approved,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/43021/PR23-0433-Introduction.pdf
43020,23,Wells School Designation and Master Facilities Plan Disapproval Emergency Emergency Amendment of 2019,Chairman Mendelson,B23-0378,,,2019-07-08,2019-07-15,Retained by the Council,,,,Under Mayoral Review,Bill,Emergency Bill,http://lims.dccouncil.us/Download/43020/B23-0378-Introduction.pdf
43019,23,Wells School Designation and Master Facilities Plan Disapproval Emergency Declaration Resolution of 2019,Chairman Mendelson,PR23-0432,,R23-0183,2019-07-08,2019-07-12,Retained by the Council,,,,Approved,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/43019/PR23-0432-Introduction.pdf
43018,23,Urban Farming Land Lease Temporary Amendment Act of 2019,Councilmember Cheh,B23-0377,,,2019-07-08,2019-07-16,Retained by the Council,,,,Under Council Review,Bill,Temporary Bill,http://lims.dccouncil.us/Download/43018/B23-0377-Introduction.pdf
43017,23,Urban Farming Land Lease Emergency Amendment Act of 2019,Councilmember Cheh,B23-0376,,,2019-07-08,2019-07-15,Retained by the Council,,,,Under Mayoral Review,Bill,Emergency Bill,http://lims.dccouncil.us/Download/43017/B23-0376-Introduction.pdf
43016,23,Urban Farming Land Lease Emergency Declaration Resolution of 2019,Councilmember Cheh,PR23-0431,,R23-0184,2019-07-08,2019-07-15,Retained by the Council,,,,Approved,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/43016/PR23-0431-Introduction.pdf
43015,23,Legitimate Theater Sidewalk Cafe Authorization Congressional Review Emergency Amendment Act of 2019,"Councilmembers Evans, R. White, and Cheh",B23-0375,,,2019-07-08,2019-07-15,Retained by the Council,,,,Under Mayoral Review,Bill,Congressional Review Emergency Bill,http://lims.dccouncil.us/Download/43015/B23-0375-Introduction.pdf
43014,23,Legitimate Theater Sidewalk Cafe Authorization Congressional Review Emergency Declaration Resolution of 2019,"Councilmembers Evans, R. White, and Cheh",PR23-0430,,R23-0153,2019-07-08,2019-07-12,Retained by the Council,,,,Approved,Resolution,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/43014/PR23-0430-Introduction.pdf
43013,23,Firearms Safety Omnibus Clarification Congressional Review Emergency Amendment Act of 2019,Councilmember Allen,B23-0374,,,2019-07-08,2019-07-15,Retained by the Council,,,,Under Mayoral Review,Bill,Congressional Review Emergency Bill,http://lims.dccouncil.us/Download/43013/B23-0374-Introduction.pdf
43012,23,Firearms Safety Omnibus Clarification Congressional Review Emergency Declaration Resolution of 2019,Councilmember Allen,PR23-0429,,R23-0154,2019-07-08,2019-07-12,Retained by the Council,,,,Approved,Resolution,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/43012/PR23-0429-Introduction.pdf
