Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
39031,22,Executive Branch Budget Implementation Flexibility Amendment Act of 2017,Councilmembers Gray and Bonds,B22-0527,,,2017-10-17,2017-10-17,Committee of the Whole,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/39031/B22-0527-Introduction.pdf
39030,22,Police Officer Family College Tuition Voucher Act of 2017,Councilmembers Gray and R. White,B22-0526,,,2017-10-17,2017-10-17,Committee of the Whole,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/39030/B22-0526-Introduction.pdf
39029,22,Micro-Business Startup Fee Relief Amendment Act of 2017,"Councilmembers R. White, Grosso, Nadeau, Todd, T. White, Cheh, Bonds, Silverman, Allen, and Gray",B22-0525,,,2017-10-17,2017-10-17,Committee of the Whole,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/39029/B22-0525-Introduction.pdf
39028,22,Sense of the Council in Opposition to Concealed Carry Reciprocity Resolution of 2017,"Councilmembers R. White, Cheh, Bonds, Silverman, Allen, Gray, T. White, Evans, McDuffie, Grosso, Nadeau, Todd, and Chairman Mendelson",PR22-0552,,,2017-10-17,2017-10-17,Committee on Judiciary and Public Safety,,,,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/39028/PR22-0552-Introduction.pdf
39027,22,Maternal Mortality Review Committee Establishment Act of 2017,"Councilmembers Allen, Gray, McDuffie, R. White, Bonds, Evans, Grosso, Silverman, and T. White",B22-0524,,,2017-10-17,2017-10-17,Committee on Judiciary and Public Safety,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/39027/B22-0524-Introduction.pdf
39026,22,Removing Barriers to Occupational Licenses Amendment Act of 2017,"Councilmembers Allen, Grosso, R. White, Bonds, Evans, Gray, and McDuffie",B22-0523,,,2017-10-17,2017-10-17,Committee on Health,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/39026/B22-0523-Introduction.pdf
39025,22,District Waterways Management Act of 2017,"Councilmembers Allen, Gray, McDuffie, Bonds, Evans, Grosso, and R. White",B22-0522,,,2017-10-17,2017-10-17,Committee on Government Operations,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/39025/B22-0522-Introduction.pdf
