Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
38835,22,"Readiness, Response, Recovery: A Discussion with Members of the D.C. Homeland Security Commission",Chairman Phil Mendelson,AU22-0020,,,2017-09-28,2017-09-28,,,,,New,Report,Auditor,http://lims.dccouncil.us/Download/38835/AU22-0020-Introduction.pdf
38834,22,Dining with Dogs Temporary Act of 2017,"Councilmembers Gray, Allen, Nadeau, and Todd",B22-0471,,,2017-09-28,2017-09-28,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/38834/B22-0471-Introduction.pdf
38833,22,Dining with Dogs Emergency Act of  2017,"Councilmembers Gray, Allen, Nadeau, and Todd",B22-0470,,,2017-09-28,2017-09-28,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/38833/B22-0470-Introduction.pdf
38832,22,Dining with Dogs Emergency Declaration Resolution of 2017,"Councilmembers Gray, Allen, Nadeau, and Todd",PR22-0485,,,2017-09-28,2017-09-28,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/38832/PR22-0485-Introduction.pdf
38831,22,Standard of Care for Animals Congressional Review Emergency Amendment Act of 2017,"Councilmembers Gray, Todd, and Cheh",B22-0469,,,2017-09-28,2017-09-28,Retained by the Council,,,,New,Bill,Congressional Review Emergency Bill,http://lims.dccouncil.us/Download/38831/B22-0469-Introduction.pdf
38830,22,Standard of Care for Animals Congressional Review Emergency Declaration Resolution of 2017,"Councilmembers Gray, Todd, and Cheh",PR22-0484,,,2017-09-28,2017-09-28,Retained by the Council,,,,New,Resolution,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/38830/PR22-0484-Introduction.pdf
