Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
39024,22,District of Columbia State Athletics Commission Rosalyn Overstreet-Gonzalez Confirmation Resolution of 2017,Chairman Mendelson,PR22-0551,,,2017-10-13,2017-10-13,Committee on Education,,Approved,2017-12-02,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/39024/PR22-0551-Introduction.pdf
39023,22,Science Advisory Board Michael Pentella Confirmation Resolution of 2017,Chairman Mendelson,PR22-0550,,,2017-10-13,2017-10-13,Committee on Judiciary and Public Safety,,Approved,2017-12-02,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/39023/PR22-0550-Introduction.pdf
39022,22,Science Advisory Board Robert Thompson Confirmation Resolution of 2017,Chairman Mendelson,PR22-0549,,,2017-10-13,2017-10-13,Committee on Judiciary and Public Safety,,Approved,2017-12-02,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/39022/PR22-0549-Introduction.pdf
39021,22,Science Advisory Board Peter Marone Confirmation Resolution of 2017,Chairman Mendelson,PR22-0548,,,2017-10-13,2017-10-13,Committee on Judiciary and Public Safety,,Approved,2017-12-02,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/39021/PR22-0548-Introduction.pdf
39020,22,Commission on African-American Affairs Ryan L. Jones Confirmation Resolution of 2017,Chairman Mendelson,PR22-0547,,,2017-10-13,2017-10-13,Committee on Government Operations,,Approved,2017-12-02,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/39020/PR22-0547-Introduction.pdf
39019,22,Commission on African-American Affairs Dr. Niambi M. Carter Confirmation Resolution of 2017,Chairman Mendelson,PR22-0546,,,2017-10-13,2017-10-13,Committee on Government Operations,,Approved,2017-12-02,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/39019/PR22-0546-Introduction.pdf
39018,22,National Community Reinvestment Coalition Real Property Tax Exemption Act of 2017,Councilmember Evans,B22-0521,,,2017-10-13,2017-10-13,Committee on Finance and Revenue,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/39018/B22-0521-Introduction.pdf
39017,22,"Proposed contract modification to exercise Option Year two (2) with Veritas Consulting Group, LLC ",Chairman Mendelson,CA22-0289,,,2017-10-13,2017-10-13,Retained by the Council,,Approved,2017-10-26,New,Contract,Contract,http://lims.dccouncil.us/Download/39017/CA22-0289-Introduction.pdf
