Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
42776,23,Children's Hospital Research and Innovation Campus Phase 1 Temporary Amendment Act of 2019,Councilmember Todd,B23-0330,,,2019-06-13,2019-06-13,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/42776/B23-0330-Introduction.pdf
42775,23,Children's Hospital Research and Innovation Campus Phase 1 Emergency Amendment Act of 2019,Councilmember Todd,B23-0329,,,2019-06-13,2019-06-13,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/42775/B23-0329-Introduction.pdf
42774,23,Children's Hospital Research and Innovation Campus Phase 1 Emergency Declaration Resolution of 2019,Councilmember Todd,PR23-0356,,,2019-06-13,2019-06-13,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/42774/PR23-0356-Introduction.pdf
42773,23,Proposed loan agreement from the Housing Production Trust Fund between the Department of Housing and Community Development (DHCD) and Brightwood Gardens Cooperative ,Chairman Mendelson,CA23-0180,,,2019-06-13,2019-06-13,Retained by the Council,,Approved,2019-06-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42773/CA23-0180-Introduction.pdf
42772,23,Proposed loan agreement from the Housing Production Trust Fund between the Department of Housing and Community Development (DHCD) and 5912 Missouri Cooperative Association ,Chairman Mendelson,CA23-0179,,,2019-06-13,2019-06-13,Retained by the Council,,Approved,2019-06-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42772/CA23-0179-Introduction.pdf
42771,23,"Proposed loan agreement from the Housing Production Trust Fund between the Department of Housing and Community Development (DHCD) and Randle Hill, LLC ",Chairman Mendelson,CA23-0178,,,2019-06-13,2019-06-13,Retained by the Council,,Approved,2019-06-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42771/CA23-0178-Introduction.pdf
42770,23,Proposed contract with Seagrave Fire Apparatus LLC ,Chairman Mendelson,CA23-0177,,,2019-06-13,2019-06-13,Retained by the Council,,Approved,2019-06-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42770/CA23-0177-Introduction.pdf
42769,23,"Proposed contract with Stockbridge Consulting, LLC ",Chairman Mendelson,CA23-0176,,,2019-06-13,2019-06-13,Retained by the Council,,Approved,2019-06-24,New,Contract,Contract,
42768,23,"Proposed contract to exercise Option Year Two (2) with Alternatives Renewable Solutions, LLC ",Chairman Mendelson,CA23-0175,,,2019-06-13,2019-06-13,Retained by the Council,,Approved,2019-06-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42768/CA23-0175-Introduction.pdf
42767,23,"Proposed contract to exercise Option Year Two (2) with Tecknomic, LLC ",Chairman Mendelson,CA23-0174,,,2019-06-13,2019-06-13,Retained by the Council,,Approved,2019-06-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42767/CA23-0174-Introduction.pdf
