Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
38912,22,Student Loan Debt Forgiveness Act of 2017,"Councilmembers Grosso, T. White, Nadeau, Silverman, and Gray",B22-0504,,,2017-10-03,2017-10-03,Committee on Education,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38912/B22-0504-Introduction.pdf
38911,22,Indigenous Peoples' Day Amendment Act of 2017,"Councilmembers Bonds, Nadeau, R. White, Cheh, Grosso, Allen, Silverman, and T. White",B22-0503,,,2017-10-03,2017-10-03,Committee of the Whole,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38911/B22-0503-Introduction.pdf
38910,22,Field Access Equity Amendment Act of 2017,Councilmember Cheh,B22-0502,,,2017-10-03,2017-10-03,Committee on Transportation and the Environment,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38910/B22-0502-Introduction.pdf
38909,22,Residential Composting Incentives Amendment Act of 2017,Councilmember Cheh,B22-0501,,,2017-10-03,2017-10-03,Committee on Transportation and the Environment,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38909/B22-0501-Introduction.pdf
38908,22,Breast Cancer Awareness License Plate Amendment Act of 2017,"Councilmembers Cheh, Evans, Nadeau, Gray, R. White, Grosso, T. White, Allen, McDuffie, Silverman, Todd, Bonds, and Chairman Mendelson",B22-0500,,,2017-10-03,2017-10-03,Committee on Transportation and the Environment,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38908/B22-0500-Introduction.pdf
38907,22,Southwest Waterfront Parking Enforcement Temporary Act of 2017,Councilmember Allen,B22-0499,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/38907/B22-0499-Introduction.pdf
38906,22,Southwest Waterfront Parking Enforcement Emergency Act of 2017,Councilmember Allen,B22-0498,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/38906/B22-0498-Introduction.pdf
38905,22,Southwest Waterfront Parking Enforcement Emergency Declaration Resolution of 2017,Councilmember Allen,PR22-0522,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/38905/PR22-0522-Introduction.pdf
38904,22,At-Risk Tenant Protection Clarifying Temporary Amendment Act of 2017,Councilmember Bonds,B22-0497,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/38904/B22-0497-Introduction.pdf
38903,22,At-Risk Tenant Protection Clarifying Emergency Amendment Act of 2017,Councilmember Bonds,B22-0496,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/38903/B22-0496-Introduction.pdf
38902,22,At-Risk Tenant Protection Clarifying Emergency Declaration Resolution of 2017,Councilmember Bonds,PR22-0521,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/38902/PR22-0521-Introduction.pdf
38901,22,Washington Metrorail Safety Commission Board of Directors Appointment Temporary Amendment Act of 2017,Councilmember Evans and Chairman Mendelson,B22-0495,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/38901/B22-0495-Introduction.pdf
38900,22,Washington Metrorail Safety Commission Board of Directors Appointment Emergency Amendment Act of 2017,Councilmember Evans and Chairman Mendelson,B22-0494,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/38900/B22-0494-Introduction.pdf
38899,22,Washington Metrorail Safety Commission Board of Directors Appointment Emergency Declaration Resolution of 2017,Councilmember Evans and Chairman Mendelson,PR22-0520,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/38899/PR22-0520-Introduction.pdf
38898,22,Fiscal Year 2018 Budget Support Congressional Review Emergency Act of 2017,Chairman Mendelson,B22-0493,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Bill,Congressional Review Emergency Bill,http://lims.dccouncil.us/Download/38898/B22-0493-Introduction.pdf
38897,22,Fiscal Year 2018 Budget Support Congressional Review Emergency Declaration Resolution of 2017,Chairman Mendelson,PR22-0519,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Resolution,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/38897/PR22-0519-Introduction.pdf
38896,22,Fiscal Year 2018 Budget Support Clarification Temporary Act of 2017,Chairman Mendelson,B22-0492,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Bill,Temporary Bill,http://lims.dccouncil.us/Download/38896/B22-0492-Introduction.pdf
38895,22,Fiscal Year 2018 Budget Support Clarification Emergency Act of 2017,Chairman Mendelson,B22-0491,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/38895/B22-0491-Introduction.pdf
38894,22,Fiscal Year 2018 Budget Support Clarification Emergency Declaration Resolution of 2017,Chairman Mendelson,PR22-0518,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Resolution,Emergency Declaration Resolution,http://lims.dccouncil.us/Download/38894/PR22-0518-Introduction.pdf
38893,22,Capitol Riverfront Business Improvement District Congressional Review Emergency Amendment Act of 2017 ,Councilmember Allen,B22-0490,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Bill,Congressional Review Emergency Bill,http://lims.dccouncil.us/Download/38893/B22-0490-Introduction.pdf
38892,22,Capitol Riverfront Business Improvement District Congressional Review Emergency Declaration Resolution of 2017,Councilmember Allen,PR22-0517,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Resolution,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/38892/PR22-0517-Introduction.pdf
38891,22,Fort Dupont Ice Arena Programming Congressional Review Emergency Amendment Act of 201,Councilmember Cheh,B22-0489,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Bill,Emergency Bill,http://lims.dccouncil.us/Download/38891/B22-0489-Introduction.pdf
38890,22,Fort Dupont Ice Arena Programming Congressional Review Emergency Declaration Resolution of 2017,Councilmember Cheh,PR22-0516,,,2017-10-03,2017-10-03,Retained by the Council,,,,New,Resolution,Congressional Review Emer. Decl. Resolution,http://lims.dccouncil.us/Download/38890/PR22-0516-Introduction.pdf
