Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
38924,22,University of the District of Columbia Leased Property Tax Abatement Amendment Act of 2017,Chairman Mendelson,B22-0513,,,2017-10-03,2017-10-03,Committee on Finance and Revenue,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38924/B22-0513-Introduction.pdf
38923,22,Sense of the Council in Support of Legislative Action to Protect Temporary Protected Status Resolution of 2017 ,"Councilmembers McDuffie, Evans, Grosso, R. White, Nadeau, Allen, T. White, Cheh, Silverman, Gray, Bonds, Todd, and Chairman Mendelson",PR22-0525,,,2017-10-03,2017-10-03,Committee of the Whole,,,,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/38923/PR22-0525-Introduction.pdf
38922,22,"Sense of the Council  on Establishing Race, Equity, and Social Justice Resolution of 2017","Councilmembers McDuffie, Evans, Grosso, R. White, Nadeau, Allen, T. White, Cheh, Silverman, Gray, Bonds, Todd, and Chairman Mendelson",PR22-0524,,,2017-10-03,2017-10-03,Committee of the Whole,,,,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/38922/PR22-0524-Introduction.pdf
38921,22,Commission on Literacy Establishment Act of 2017 ,"Councilmembers T. White, Bonds, Cheh, McDuffie, Silverman, R. White, Gray, and Chairman Mendelson",B22-0512,,,2017-10-03,2017-10-03,Committee on Education,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38921/B22-0512-Introduction.pdf
38920,22,Pools without Penalties Act of 2017,Councilmembers Gray and Evans,B22-0511,,,2017-10-03,2017-10-03,Committee on Health,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38920/B22-0511-Introduction.pdf
38919,22,Dining with Dogs Act of 2017,"Councilmembers Gray, Allen, Nadeau, and Todd",B22-0510,,,2017-10-03,2017-10-03,Committee on Health,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38919/B22-0510-Introduction.pdf
38918,22,Athletic Commission Amendment Act of 2017,Councilmember Todd,B22-0509,,,2017-10-03,2017-10-03,Committee on Business and Economic Development,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38918/B22-0509-Introduction.pdf
38917,22,Office and Commission of Nightlife Establishment Act of 2017,Councilmember Todd,B22-0508,,,2017-10-03,2017-10-03,Committee on Government Operations,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38917/B22-0508-Introduction.pdf
38916,22,Lead Pipe Replacement and Disclosure Amendment Act of 2017,"Councilmembers Nadeau, Bonds, R. White, Todd, Gray, Silverman, Cheh, Grosso, and Allen",B22-0507,,,2017-10-03,2017-10-03,Committee on Transportation and the Environment,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38916/B22-0507-Introduction.pdf
38915,22,Living Wage Certification Program Amendment Act of 2017 ,"Councilmembers Silverman, Cheh, R. White, Bonds, and Gray",B22-0506,,,2017-10-03,2017-10-03,Committee on Business and Economic Development,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38915/B22-0506-Introduction.pdf
38914,22,Sense of the Council Arts Humanities in Education Resolution of 2017,"Councilmembers Grosso, Allen, Nadeau, Bonds, Gray, Evans, Cheh, R. White, Todd, and Silverman",PR22-0523,,,2017-10-03,2017-10-03,Committee on Education,,,,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/38914/PR22-0523-Introduction.pdf
38913,22,Reverse Mortgage Foreclosure Prevention Act of 2017,"Councilmembers Silverman, T. White, Gray, Bonds, Todd, and R. White",B22-0505,,,2017-10-03,2017-10-03,Committee on Housing and Neighborhood Revitalization ,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38913/B22-0505-Introduction.pdf
