Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
42557,23,Proposed contract to Exercise Option Year Two (2) with Jacobs Project Management Company,Chairman Mendelson,CA23-0130,,,2019-05-13,2019-05-13,Retained by the Council,,Approved,2019-05-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42557/CA23-0130-Introduction.pdf
42556,23,"Proposed contract to Exercise Option Year Two (2) with AECOM Technical Services, Inc. ",Chairman Mendelson,CA23-0129,,,2019-05-13,2019-05-13,Retained by the Council,,Approved,2019-05-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42556/CA23-0129-Introduction.pdf
42555,23,"Proposed contract to Exercise Option Year Two (2) with Cinnovas Development Group, LLC ",Chairman Mendelson,CA23-0128,,,2019-05-13,2019-05-13,Retained by the Council,,Approved,2019-05-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42555/CA23-0128-Introduction.pdf
42554,23,"Proposed contract to Exercise Option Year Two (2) with Brailsford & Dunlavey, Inc. ",Chairman Mendelson,CA23-0127,,,2019-05-13,2019-05-13,Retained by the Council,,Approved,2019-05-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42554/CA23-0127-Introduction.pdf
42553,23,Proposed contract to Exercise Option Year Two (2) with Kramer Consulting Services PC ,Chairman Mendelson,CA23-0126,,,2019-05-13,2019-05-13,Retained by the Council,,Approved,2019-05-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42553/CA23-0126-Introduction.pdf
42552,23,"Proposed contract to Exercise Option Year Two (2) with Mckissack & Mckissack of Washington, Inc. ",Chairman Mendelson,CA23-0125,,,2019-05-13,2019-05-13,Retained by the Council,,Approved,2019-05-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42552/CA23-0125-Introduction.pdf
42551,23,"Proposed contract to Exercise Option Year Two (2) with Mark G. Anderson Consultants, Inc. ",Chairman Mendelson,CA23-0124,,,2019-05-13,2019-05-13,Retained by the Council,,Approved,2019-05-24,New,Contract,Contract,http://lims.dccouncil.us/Download/42551/CA23-0124-Introduction.pdf
42550,23,"Proposed contract to Exercise Option Year Two (2) with The Temple Group, Inc. ",Chairman Mendelson,CA23-0123,,,2019-05-13,2019-05-13,Retained by the Council,,Approved,2019-05-24,New,Contract,Contract,
