Id,CouncilPeriod,ShortTitle,Introducer,LegislationNumber,LawNumber,ActNumber,IntroductionDate,Modified,CommitteeReferral,CommitteeReferralComments,Deemed,DeemedOn,LegislationStatus,Category,Subcategory,DocumentUrl
38588,22,Joy Evans Therapeutic Recreation Center Designation Act of 2017,"Councilmembers Gray, Bonds, Silverman, McDuffie, Nadeau, and Grosso",B22-0406,,,2017-07-11,2017-07-12,Committee of the Whole,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38588/B22-0406-Introduction.pdf
38587,22,East End Federally Qualified Health Center Certificate of Need Maximum Fee Establishment Amendment Act of 2017,Councilmembers Gray and R. White,B22-0405,,,2017-07-11,2017-07-12,Committee on Health,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38587/B22-0405-Introduction.pdf
38586,22,Criminal Record Accuracy Assurance Act of 2017,"Councilmembers R. White, McDuffie, Todd, Bonds, Grosso, Nadeau, and T. White",B22-0404,,,2017-07-11,2017-07-12,Committee on Judiciary and Public Safety,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38586/B22-0404-Introduction.pdf
38585,22,Broadband Internet Privacy Act of 2017,"Councilmembers Todd, Cheh, Bonds, Evans, R. White, Silverman, and Chairman Mendelson",B22-0403,,,2017-07-11,2017-07-12,Committee on Business and Economic Development,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38585/B22-0403-Introduction.pdf
38584,22,Elder Abuse Public Information Campaign Act of 2017,Councilmembers Todd and Bonds,B22-0402,,,2017-07-11,2017-07-12,Committee on Housing and Neighborhood Revitalization ,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38584/B22-0402-Introduction.pdf
38583,22,Workforce Development System Transparency Act of 2017,"Councilmembers Silverman, McDuffie, T. White, R. White, Cheh, and Chairman Mendelson",B22-0401,,,2017-07-11,2017-07-12,Committee on Labor and Workforce Development,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38583/B22-0401-Introduction.pdf
38582,22,Extreme Risk Civil Protection Order Amendment Act of 2017,"Councilmembers Nadeau, Bonds, and Grosso",B22-0400,,,2017-07-11,2017-07-12,Committee on Judiciary and Public Safety,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38582/B22-0400-Introduction.pdf
38580,22,Contract Interference Mitigation Resolution of 2017,"Councilmembers Grosso, McDuffie, Cheh, and Bonds",PR22-0422,,,2017-07-11,2017-07-12,Committee of the Whole,,,,New,Resolution,Proposed Resolution,http://lims.dccouncil.us/Download/38580/PR22-0422-Introduction.pdf
38579,22,Instant Runoff Voting Amendment Act of 2017,"Councilmembers Grosso, Cheh, Nadeau, and Silverman",B22-0398,,,2017-07-11,2017-07-12,Committee on Judiciary and Public Safety,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38579/B22-0398-Introduction.pdf
38578,22,Michael A. Stoops Anti-Discrimination Amendment Act of 2017,"Councilmembers Grosso, Cheh, Nadeau, and R. White",B22-0397,,,2017-07-11,2017-07-12,Committee on Judiciary and Public Safety,,,,New,Bill,Permanent Bill,http://lims.dccouncil.us/Download/38578/B22-0397-Introduction.pdf
